,idx,data,sd,timestamp,fold
0,210,10.39805882352941,1.0152507641892479,1622104617.6640325,1
1,660,12.949803738317758,1.0737757988305798,1622104636.8640747,1
2,1110,17.443916666666667,1.7831380600208078,1622104657.76411,1
3,1570,24.906972727272727,1.3082556357024067,1622104678.9640753,1
4,2020,26.648290944123314,0.20806155097262843,1622104702.9391327,1
5,2480,26.740243107769423,0.027701298728471335,1622104725.889203,1
6,2930,26.714339688041594,0.0893842349510711,1622104750.2893744,1
7,3390,26.677730496453904,0.11563113150666764,1622104771.7644148,1
8,3380,26.434492753623196,0.026012050266831826,1622104780.5393333,1
9,3840,26.617778140293634,0.07922495515234179,1622104797.5891254,1
10,4300,26.709722772277235,0.020497340475580886,1622104815.439099,1
11,4290,26.72988593155894,0.040922191677142075,1622104824.5390873,1
12,4750,26.672800681431003,0.06729400619969408,1622104845.7890441,1
13,5200,26.63097409326425,0.11882945654739335,1622104870.114075,1
14,5660,26.347951762523188,0.06360728225519162,1622104893.2390723,1
15,6110,26.427968253968256,0.0388696745535544,1622104917.7390862,1
16,6570,26.38164059196617,0.06516767932343631,1622104940.5891204,1
17,7020,26.22388247011952,0.06520632387110128,1622104964.9641414,1
18,7480,26.13031182795699,0.024847482507914107,1622104979.8391612,1
19,200,13.805790322580643,0.6156474990870617,1622105793.2142096,2
20,650,13.577813278008298,0.6081273841411574,1622105800.7891994,2
21,640,16.434184313725492,1.9181033037027775,1622105813.1892157,2
22,1090,21.223352542372886,1.131106500906012,1622105826.939183,2
23,1080,23.420204724409448,1.1956442360461061,1622105840.6642203,2
24,1530,26.303977900552482,0.5712256277021003,1622105856.0641544,2
25,1520,26.724051282051285,0.009106066498454985,1622105867.0641923,2
26,1980,26.668835164835166,0.05156586820208042,1622105873.5641537,2
27,1970,26.686910662824207,0.07483623293233733,1622105886.789254,2
28,2420,26.97945323741007,0.0997247090616613,1622105902.4142447,2
29,2410,27.15303405572755,0.017038712558651758,1622105917.4392445,2
30,2860,27.120680781758956,0.02150196692861587,1622105933.1892734,2
31,2850,27.094533783783785,0.022916539389158778,1622105948.264196,2
32,3300,27.009355421686745,0.04923878565494867,1622105963.964217,2
33,3290,26.89389552238806,0.031679662635942324,1622105978.964153,2
34,3740,26.77313091922005,0.04579580592870079,1622105994.6392424,2
35,3730,26.688410714285713,0.012449579433105663,1622106005.0141966,2
36,4190,26.661387254901957,0.02236269728184346,1622106011.5142303,2
37,4180,26.599458213256487,0.02052847492354249,1622106025.2893429,2
38,4630,26.475528169014083,0.02944861690287982,1622106041.0641866,2
39,4620,26.35993846153846,0.04508176398264586,1622106056.2890491,2
40,5070,26.30273015873016,0.023869490621178158,1622106072.289054,2
41,5060,26.34221262458471,0.11622355580378857,1622106087.6890297,2
42,5510,26.36392241379311,0.18819880434633984,1622106103.9140573,2
43,5500,26.542475655430714,0.2818910100414227,1622106119.2890337,2
44,5950,26.890594164456232,0.19875564424637723,1622106135.389085,2
45,5940,26.735249999999997,0.017858821349684313,1622106145.0141249,2
46,6400,26.91619123505976,0.24083459484586145,1622106151.4890478,2
47,6390,27.136571428571425,0.013955614772322331,1622106166.514097,2
48,6840,27.12142465753425,0.014249650616451802,1622106182.564065,2
49,6830,27.133366559485527,0.02209554029718695,1622106197.6390448,2
50,7280,27.057747663551403,0.025129605527748393,1622106213.439028,2
51,7270,27.04823076923077,0.01061710739035647,1622106228.6140628,2
52,7720,27.04950289017341,0.010211420715756984,1622106244.4140866,2
53,7710,27.060586206896552,0.016237498621230036,1622106258.8640215,2
54,8170,27.056833333333334,0.014293549438665239,1622106265.264,2
55,8160,27.03645856353591,0.017226944593746234,1622106274.9142513,2
56,8610,26.971290076335883,0.030851154246069275,1622106290.5141258,2
57,8600,26.915213213213214,0.012865189415016782,1622106305.3890567,2
58,9050,26.890311111111114,0.007453029875224038,1622106314.8390665,2
59,8190,27.14975838926175,0.022586938973013528,1622107608.5391607,2
60,8180,27.154396491228074,0.05375964039181231,1622107619.3891506,3
61,8170,27.244869918699187,0.02990430791208386,1622107632.6640284,3
